radiohead	radiohead	5.7757416
radiohead	the pipettes	5.0306053
radiohead	kaki king	5.018347
radiohead	the dø	5.014898
radiohead	the white stripes	4.9659147
radiohead	rodrigo y gabriela	4.919763
radiohead	band of horses	4.9086385
radiohead	beck	4.8977942
radiohead	portishead	4.86289
radiohead	under byen	4.839644
radiohead	the smiths	4.798359
the beatles	the beatles	5.4828796
the beatles	little richard	4.8862123
the beatles	the magic numbers	4.7386885
the beatles	kimya dawson	4.64504
the beatles	t. rex	4.5917935
the beatles	glen hansard	4.5510597
the beatles	chuck berry	4.5426793
the beatles	bee gees	4.5222487
the beatles	david bowie	4.50529
the beatles	the blues brothers	4.4784155
the beatles	tom lehrer	4.4670396
coldplay	coldplay	6.221379
coldplay	glen hansard	5.4571977
coldplay	keane	5.3524704
coldplay	plankton productions	5.2872214
coldplay	red hot chili peppers	5.2589054
coldplay	rachael yamagata	5.2573457
coldplay	jet	5.235172
coldplay	will smith	5.1295104
coldplay	sixpence none the richer	5.106412
coldplay	tegan and sara	5.0888796
coldplay	garbage	5.084773
red hot chili peppers	red hot chili peppers	5.5467052
red hot chili peppers	jet	4.8978834
red hot chili peppers	keane	4.7836432
red hot chili peppers	green day	4.7629194
red hot chili peppers	fall out boy	4.7356157
red hot chili peppers	ok go	4.7254148
red hot chili peppers	imogen heap	4.7011375
red hot chili peppers	coldplay	4.688607
red hot chili peppers	incubus	4.673404
red hot chili peppers	plain white t's	4.6703963
red hot chili peppers	glen hansard	4.662293
muse	muse	5.799018
muse	placebo	5.0367208
muse	arctic monkeys	4.8190846
muse	the hives	4.752073
muse	the subways	4.669999
muse	gomez	4.626514
muse	tenacious d	4.6196346
muse	superbus	4.590432
muse	30 seconds to mars	4.578272
muse	shiny toy guns	4.5670643
muse	kings of leon	4.5590997
metallica	metallica	5.514278
metallica	trans-siberian orchestra	4.454587
metallica	anthrax	4.4267287
metallica	sabaton	4.401684
metallica	kid rock	4.3881755
metallica	apocalyptica	4.36302
metallica	hollywood undead	4.240348
metallica	iron maiden	4.2247925
metallica	volbeat	4.1529
metallica	rammstein	4.1486273
metallica	rootwater	4.145858
pink floyd	pink floyd	5.839723
pink floyd	the blues brothers	4.8753595
pink floyd	marillion	4.8670063
pink floyd	frank zappa	4.8565326
pink floyd	elton john	4.7855945
pink floyd	nirvana	4.724248
pink floyd	andrew w.k.	4.723616
pink floyd	neil diamond	4.7207813
pink floyd	victor wooten	4.693026
pink floyd	the jimi hendrix experience	4.6927004
pink floyd	marcy playground	4.6861672
the killers	the killers	5.6550236
the killers	mgmt	4.808443
the killers	the asteroids galaxy tour	4.768455
the killers	our lady peace	4.7260103
the killers	stereophonics	4.7170267
the killers	kings of leon	4.654332
the killers	snow patrol	4.649708
the killers	robbie williams	4.554321
the killers	kashmir	4.541592
the killers	kate nash	4.54018
the killers	mika	4.5167866
linkin park	linkin park	5.75182
linkin park	nickelback	5.1409802
linkin park	fall out boy	4.8992286
linkin park	good charlotte	4.8863883
linkin park	sunrise avenue	4.792744
linkin park	shinedown	4.785877
linkin park	the wallflowers	4.759854
linkin park	30 seconds to mars	4.7547016
linkin park	red hot chili peppers	4.745075
linkin park	darude	4.7440486
linkin park	alter bridge	4.726401
nirvana	nirvana	5.9306097
nirvana	system of a down	5.054545
nirvana	the white stripes	5.0300884
nirvana	tenacious d	4.913588
nirvana	the john butler trio	4.880007
nirvana	faith no more	4.812242
nirvana	primus	4.8117075
nirvana	pink floyd	4.797773
nirvana	kyuss	4.779555
nirvana	movits!	4.7765155
nirvana	ramones	4.7603283
system of a down	system of a down	5.923809
system of a down	tenacious d	5.115056
system of a down	nirvana	5.0487485
system of a down	apocalyptica	4.9772964
system of a down	the offspring	4.7937984
system of a down	guns n roses	4.783963
system of a down	guano apes	4.6591
system of a down	serj tankian	4.6438546
system of a down	reggie and the full effect	4.638008
system of a down	kyuss	4.608838
system of a down	rise against	4.599592
queen	queen	5.977904
queen	status quo	4.967522
queen	freddie mercury	4.9438763
queen	dire straits	4.917001
queen	eagles	4.8686595
queen	guns n roses	4.8492846
queen	meat loaf	4.848197
queen	andrew lloyd webber	4.837171
queen	the cars	4.832999
queen	don mclean	4.7846375
queen	bonnie tyler	4.746641
u2	u2	6.738764
u2	sinéad oconnor	5.8042464
u2	indochine	5.5791197
u2	noir désir	5.4020634
u2	travis	5.3634458
u2	elastica	5.3056564
u2	hilltop hoods	5.285415
u2	michael jackson	5.263884
u2	simply red	5.249989
u2	no doubt	5.2049193
u2	madonna	5.197011
daft punk	daft punk	5.5957303
daft punk	bran van 3000	4.9098454
daft punk	yelle	4.7777658
daft punk	fatboy slim	4.7756863
daft punk	blue foundation	4.629219
daft punk	cassius	4.608795
daft punk	thirteen senses	4.60805
daft punk	garbage	4.606706
daft punk	n*e*r*d	4.57712
daft punk	the music	4.566572
daft punk	björk	4.5629907
the cure	the cure	8.573529
the cure	phyllis dillon	6.560359
the cure	detektivbyrån	6.4290075
the cure	kaizers orchestra	6.347454
the cure	the greenhornes	6.330124
the cure	jenny wilson	6.3220162
the cure	joy division	6.3036146
the cure	gary numan	6.28832
the cure	the stranglers	6.2265673
the cure	peter mcconnell	6.1778417
the cure	pop will eat itself	6.1717815
led zeppelin	led zeppelin	6.0752707
led zeppelin	eagles	5.086348
led zeppelin	pearl jam	4.8637066
led zeppelin	monster magnet	4.6413655
led zeppelin	thin lizzy	4.595136
led zeppelin	big brother & the holding company	4.5492907
led zeppelin	tehosekoitin	4.5466094
led zeppelin	deep purple	4.538876
led zeppelin	simon & garfunkel	4.518646
led zeppelin	eric clapton	4.513586
led zeppelin	dire straits	4.4532075
placebo	placebo	6.368342
placebo	muse	5.531205
placebo	the dandy warhols	5.278158
placebo	doves	5.213537
placebo	queens of the stone age	5.2105317
placebo	joseph arthur	5.140649
placebo	the white stripes	5.119439
placebo	shiny toy guns	5.1142793
placebo	band of horses	5.0506577
placebo	the subways	5.042866
placebo	lodger	5.026684
depeche mode	depeche mode	6.6394863
depeche mode	tears for fears	5.544245
depeche mode	erasure	5.417372
depeche mode	frankie goes to hollywood	5.402334
depeche mode	dave gahan	5.3279347
depeche mode	soft cell	5.318496
depeche mode	alphaville	5.220604
depeche mode	de/vision	5.2116523
depeche mode	orchestral manoeuvres in the dark	5.175721
depeche mode	frou frou	5.15888
depeche mode	the asteroids galaxy tour	5.095304
david bowie	david bowie	4.8901925
david bowie	beck	4.1346436
david bowie	the magic numbers	4.132544
david bowie	patti smith	4.0626616
david bowie	the beatles	4.018278
david bowie	tears for fears	3.9745975
david bowie	motorpsycho	3.96705
david bowie	iggy pop	3.9668212
david bowie	giorgio moroder	3.964737
david bowie	talk talk	3.9462345
david bowie	tindersticks	3.9390943
bob dylan	bob dylan	6.3996696
bob dylan	leonard cohen	5.396434
bob dylan	richard cheese	5.3492074
bob dylan	talking heads	5.179063
bob dylan	van morrison	5.1565156
bob dylan	david bowie	5.1156383
bob dylan	david byrne	5.1152067
bob dylan	lou reed	5.1021504
bob dylan	patti smith	5.086726
bob dylan	npr	5.0479608
bob dylan	brigitte bardot	5.0474253
death cab for cutie	death cab for cutie	6.8933983
death cab for cutie	cary brothers	5.681286
death cab for cutie	the format	5.369835
death cab for cutie	antsy pants	5.270058
death cab for cutie	regina spektor	5.215076
death cab for cutie	barenaked ladies	5.199743
death cab for cutie	pete yorn	5.175487
death cab for cutie	the shins	5.121008
death cab for cutie	stereophonics	5.0769625
death cab for cutie	snow patrol	5.055563
death cab for cutie	bill bailey	5.0500393
arctic monkeys	arctic monkeys	4.98661
arctic monkeys	the last shadow puppets	4.443661
arctic monkeys	the hives	4.1962447
arctic monkeys	the music	4.1955237
arctic monkeys	hadouken!	4.169472
arctic monkeys	kings of leon	4.164413
arctic monkeys	muse	4.143959
